customer_id,Recency,Frequency,Monetary
7592,1,17,13990.93
14048,0,15,8976.33
7983,5,14,6973.07
19339,445,17,6552.7
7931,17,18,6497.18
6569,7,14,4968.0
22279,107,12,4490.64
499,9,14,4378.55
3049,1,10,4262.85
15162,14,11,4234.45
16517,6,15,4185.1
2664,19,14,4100.27
22061,11,9,3948.9
13167,38,16,3898.7
12367,14,8,3798.24
1077,9,9,3324.49
21739,28,12,3319.83
20917,74,9,3077.45
21950,5,11,2982.8
2908,1,11,2914.87
586,224,11,2849.64
17337,337,10,2599.62
12098,12,11,2594.33
8250,2,11,2582.74
710,5,7,2502.3
313,37,12,2432.29
16175,82,12,2417.54
3901,2,8,2411.53
22492,87,12,2388.72
14894,466,7,2363.93
19597,12,6,2357.57
22348,5,14,2356.89
21694,15,9,2350.5
17523,95,10,2280.08
17799,15,8,2202.11
10079,46,6,2200.81
8956,4,9,2131.02
5223,13,12,2125.87
12352,3,11,2102.92
7145,64,4,2079.39
21685,104,8,2031.06
1965,2,7,2010.98
11519,18,12,2008.91
10902,3,8,1966.71
10550,187,9,1947.11
5420,150,7,1943.58
4995,23,6,1895.73
4459,25,5,1867.32
1848,29,8,1866.68
9886,9,11,1850.5
12860,10,5,1846.34
7713,44,8,1805.85
16067,69,10,1787.36
2484,1,5,1784.36
411,179,7,1769.3
20111,13,5,1747.58
15779,42,8,1733.07
3506,358,12,1730.57
2564,23,6,1726.52
8187,56,12,1711.28
8035,4,8,1708.91
20316,8,9,1687.52
8671,257,9,1678.26
18614,38,11,1642.63
11288,44,7,1625.04
2066,24,7,1622.29
17104,5,5,1621.82
1412,67,5,1615.72
18175,8,7,1611.35
20250,0,11,1592.76
5610,12,8,1581.45
11628,24,9,1576.25
7246,13,5,1570.67
398,0,9,1569.33
9340,1,8,1556.19
20944,108,8,1554.08
14945,32,10,1549.45
15953,7,10,1548.28
18769,87,6,1546.03
12476,4,4,1537.78
5437,19,7,1536.75
9172,56,10,1533.61
8481,56,9,1525.54
21564,233,7,1516.32
95,6,8,1515.27
4906,19,7,1506.32
7144,60,7,1498.21
15562,20,6,1480.11
8328,58,6,1460.94
13449,324,9,1452.44
96,3,7,1445.99
22586,16,7,1437.64
20873,35,6,1437.25
13472,24,7,1436.24
21922,12,8,1428.42
22815,0,6,1373.14
2798,38,7,1358.49
23443,14,4,1354.61
22448,22,8,1350.59
23474,329,4,1342.28
8736,54,8,1335.55
1590,109,7,1327.23
5436,11,7,1324.59
2432,32,6,1323.08
4881,121,4,1319.83
5868,1,7,1318.37
6057,34,5,1317.41
15135,145,10,1307.53
1909,3,6,1302.81
22013,10,7,1294.74
15797,32,6,1290.53
244,20,10,1287.41
1794,1,7,1275.18
10516,12,6,1256.38
2388,31,7,1248.99
3195,0,6,1248.46
17477,117,8,1248.14
8638,31,9,1244.85
1161,100,7,1244.34
6285,26,9,1241.52
16026,63,5,1240.69
10703,22,8,1235.99
16438,27,9,1235.23
21254,47,8,1228.36
19802,44,7,1227.52
22685,115,6,1226.33
13563,18,9,1220.62
10603,118,7,1208.73
18580,71,7,1203.22
19808,28,6,1199.86
15754,7,3,1195.72
18423,50,7,1188.88
13497,55,5,1183.82
1722,0,4,1182.27
16211,20,6,1181.87
17796,160,8,1177.85
19573,124,8,1170.47
15120,28,8,1169.41
1868,7,8,1168.37
17324,5,7,1165.96
15105,57,7,1165.73
10197,20,3,1164.76
16415,32,9,1157.47
5551,44,8,1156.62
14039,139,5,1156.47
4532,19,8,1155.14
485,62,8,1154.78
2941,139,8,1150.33
5303,14,6,1148.04
17041,34,7,1140.31
12304,489,4,1134.15
2215,3,8,1126.26
15871,7,10,1125.89
9939,142,9,1124.75
1760,19,5,1123.69
7991,60,6,1121.91
9177,12,6,1120.63
20585,12,9,1120.61
4983,16,7,1118.09
8496,10,4,1112.6
1980,27,3,1110.22
17151,16,8,1107.82
111,10,4,1107.04
7801,13,5,1105.74
23286,55,8,1100.49
16833,22,6,1094.2
7631,301,7,1084.11
13931,49,4,1079.82
11675,142,5,1078.77
22461,37,9,1068.73
20307,57,6,1063.5
4410,53,4,1062.42
4518,115,5,1053.91
17339,11,5,1053.37
8822,50,8,1051.62
3362,27,8,1045.83
33,109,5,1045.47
7029,50,9,1044.98
20420,3,6,1042.48
6242,171,8,1040.48
3619,19,7,1039.79
20974,3,6,1031.04
6659,149,6,1028.69
17445,14,3,1027.25
619,42,6,1025.01
20964,28,7,1024.88
887,115,4,1024.84
3501,64,6,1022.77
4388,333,3,1020.38
6394,2,6,1019.69
22356,105,6,1018.92
6674,20,6,1018.01
22753,23,8,1017.42
11756,14,4,1009.32
16719,52,6,1006.15
15641,37,6,1005.71
1745,60,9,1004.86
15375,2,5,1003.48
1817,63,4,999.69
5731,54,7,998.12
6120,62,8,991.31
2761,498,6,990.28
6526,8,5,989.18
14023,64,4,985.37
13565,1,6,981.8
17463,78,9,980.41
5981,22,5,979.01
18638,12,7,977.79
13386,7,6,975.16
7684,49,6,975.1
15399,35,7,974.77
2829,230,6,967.58
4272,16,7,959.91
2954,241,6,959.29
11524,104,6,959.21
1890,48,6,958.55
1258,36,6,958.29
5600,27,7,955.58
7203,11,5,952.75
9973,200,6,944.7
11364,124,5,944.2
19667,8,6,943.73
3870,75,7,942.57
11341,109,7,940.48
1385,40,6,938.45
22085,18,6,935.59
14604,14,6,934.48
758,30,5,934.39
4159,94,4,931.68
22754,9,6,924.53
18300,6,5,923.06
7533,27,7,920.85
3883,4,6,919.74
23124,3,6,919.24
3314,17,6,919.1
5906,19,7,918.88
12601,4,6,913.94
9440,387,4,913.91
1845,85,7,911.51
22918,109,7,911.23
23379,371,3,907.97
9342,127,6,906.71
19441,166,7,905.5
1689,20,8,904.76
8125,19,5,901.89
11298,26,6,900.27
23074,33,7,896.44
16838,31,3,895.94
7901,238,6,895.42
1903,123,4,894.52
12207,70,7,893.63
11749,13,5,893.29
3198,67,3,892.56
3713,44,6,890.49
4493,58,6,889.76
2921,47,7,888.04
21730,10,8,885.14
14348,5,7,883.56
15196,41,6,881.54
22949,45,6,879.65
2499,31,6,878.37
7426,34,7,878.11
825,162,6,876.69
9644,6,6,875.94
15303,36,6,871.5
3638,15,3,866.42
7571,140,5,863.24
4903,18,6,860.78
14749,68,7,860.1
8587,104,7,860.04
9908,1,4,857.8
19511,79,7,857.57
730,127,6,855.38
11245,334,2,853.52
9869,29,6,850.16
15850,164,6,846.3
8529,487,2,846.23
2536,5,5,843.86
9921,35,5,843.52
2275,32,6,842.45
3139,1,5,842.06
3064,114,6,841.93
7935,61,5,841.91
387,25,7,841.13
21838,1,5,840.92
20941,52,3,840.92
16379,16,8,838.89
15472,25,5,832.8
12127,9,5,831.75
7323,100,5,827.28
1991,83,5,820.39
5292,40,4,817.17
15842,30,6,816.66
12885,24,5,816.61
12242,12,7,814.99
17038,24,8,814.26
5131,20,5,814.21
6833,16,3,814.0
2389,3,6,810.83
3733,44,5,809.89
